domain,records
2009-newvirus.kaspersky.comvirusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx11.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2009.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2010.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2010comvirusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx12.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2011.comvirusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx12.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2011.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2012-virusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2012.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2012newvirus.kaspersky.comvirusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx11.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2013.cybersecurity.kaspersky.com,"{'A': ['35.173.160.135'], 'AAAA': ['64:ff9b::23ad:a087'], 'MX': [], 'NS': [], 'TXT': [], 'CNAME': []}"
2013.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2014.cybersecurity.kaspersky.com,"{'A': [], 'AAAA': [], 'MX': [], 'NS': [], 'TXT': [], 'CNAME': []}"
2014.sas.kaspersky.com,"{'A': ['35.173.160.135'], 'AAAA': ['64:ff9b::23ad:a087'], 'MX': [], 'NS': [], 'TXT': [], 'CNAME': []}"
2014kaspersky.comvirusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx12.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2014sas.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2015.comvirusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx12.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2015.cybersecurity.kaspersky.com,"{'A': [], 'AAAA': [], 'MX': [], 'NS': [], 'TXT': [], 'CNAME': []}"
2015.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2015.sas.kaspersky.com,"{'A': ['35.173.160.135'], 'AAAA': ['64:ff9b::23ad:a087'], 'MX': [], 'NS': [], 'TXT': [], 'CNAME': []}"
2016.sas.kaspersky.com,"{'A': ['35.173.160.135'], 'AAAA': ['64:ff9b::23ad:a087'], 'MX': [], 'NS': [], 'TXT': [], 'CNAME': []}"
2016newsvirus.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2017.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2017.sas.kaspersky.com,"{'A': ['158.160.97.91'], 'AAAA': ['64:ff9b::9ea0:615b'], 'MX': ['10 mx14.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx13.kaspersky-labs.com.'], 'NS': ['ns3.kasperskylabs.net.', 'ns1.kasperskylabs.net.', 'ns2.kasperskylabs.net.'], 'TXT': ['""_4b271r0mur8kovpdh4ruxbyyd35bdtk""', '""google-site-verification=Mu33mIhbaZXwYBHhjx0JNjvChNo7ZRiRnGVWkwIHk8w""', '""v=spf1 include:_spf.kaspersky.com a mx ip4:51.250.53.196 -all""'], 'CNAME': ['thesascon.com.']}"
2017.scannervirusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx12.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2018.sas.kaspersky.com,"{'A': ['158.160.97.91'], 'AAAA': ['64:ff9b::9ea0:615b'], 'MX': ['10 mx14.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx13.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.'], 'NS': ['ns1.kasperskylabs.net.', 'ns2.kasperskylabs.net.', 'ns3.kasperskylabs.net.'], 'TXT': ['""v=spf1 include:_spf.kaspersky.com a mx ip4:51.250.53.196 -all""', '""google-site-verification=Mu33mIhbaZXwYBHhjx0JNjvChNo7ZRiRnGVWkwIHk8w""', '""_4b271r0mur8kovpdh4ruxbyyd35bdtk""'], 'CNAME': ['thesascon.com.']}"
2021.kaspersky.com,"{'A': ['178.154.244.90'], 'AAAA': ['64:ff9b::b29a:f45a'], 'MX': [], 'NS': [], 'TXT': [], 'CNAME': []}"
20beb674-eca3-49a6-bafe-fabe4fc79406.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx11.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
